chart_id,missing_frac,extra_frac,ink_iou,data_missing_frac,data_extra_frac,data_iou,orig_ink,recon_ink,path,error
2001.01038_p13c4,0.11046620483055608,0.06012989733919966,0.8590032154340836,0.09008824132977632,0.04602415128730918,0.8841915085817524,5341,4773,/home/mila/s/scieurda/shared_folder/semiconductor_restyle_prototype/2001.01038_p13c4/chart.json,
2001.01801_p22c138,0.008532423208191127,0.01208548268238762,0.9835764451647758,0.0,0.006318589956767542,0.9952482180817807,8204,6785,/home/mila/s/scieurda/shared_folder/semiconductor_restyle_prototype/2001.01801_p22c138/chart.json,
2001.01928_p5c1,0.28017883755588674,0.032482162974089374,0.7512544802867384,0.2483269258151787,0.039876624807226264,0.7685463508476614,8052,5326,/home/mila/s/scieurda/shared_folder/semiconductor_restyle_prototype/2001.01928_p5c1/chart.json,
2001.08430_p4c1,0.0014845605700712589,0.03325554259043174,0.9709826871494758,0.0016345210853220007,0.033322854448286705,0.9699594046008119,3368,3428,/home/mila/s/scieurda/shared_folder/semiconductor_restyle_prototype/2001.08430_p4c1/chart.json,
2002.05937_p5c2,0.8505060858424087,0.0,0.15542380213236978,0.8505060858424087,0.0,0.15542380213236978,39025,1772,/home/mila/s/scieurda/shared_folder/semiconductor_restyle_prototype/2002.05937_p5c2/chart.json,
2003.01158_p9c3,0.0024313997915943034,0.01746089487086213,0.9852348993288591,0.000731528895391368,0.014722536806342015,0.9883390216154722,2879,2749,/home/mila/s/scieurda/shared_folder/semiconductor_restyle_prototype/2003.01158_p9c3/chart.json,
2003.09710_p16c1,0.1892309276227736,0.018008244738555,0.8246302720467409,0.19196242171189978,0.018762564217109673,0.8210663440960267,9713,4609,/home/mila/s/scieurda/shared_folder/semiconductor_restyle_prototype/2003.09710_p16c1/chart.json,
2003.09966_p3c2,0.005342237061769616,0.05134408602150538,0.9538872800178213,0.015932521087160263,0.12033398821218075,0.8975018368846437,2995,3720,/home/mila/s/scieurda/shared_folder/semiconductor_restyle_prototype/2003.09966_p3c2/chart.json,
2003.11050_p20c2,0.27474232516901254,0.08656633991440012,0.7217843067001075,0.3155123531794249,0.08481123792800703,0.679363274587834,9023,7243,/home/mila/s/scieurda/shared_folder/semiconductor_restyle_prototype/2003.11050_p20c2/chart.json,
2004.01004_p6c3,0.10107441305212893,0.027079303675048357,0.9071398513115444,0.10916334661354582,0.033478893740902474,0.8932322053675612,5026,5687,/home/mila/s/scieurda/shared_folder/semiconductor_restyle_prototype/2004.01004_p6c3/chart.json,
2004.12366_p12c1,0.051955521472392636,0.015771997786386275,0.9478454444267769,0.0549618320610687,0.01728201099764336,0.9410564497846293,5216,3614,/home/mila/s/scieurda/shared_folder/semiconductor_restyle_prototype/2004.12366_p12c1/chart.json,
2005.03896_p4c1,0.1474626865671642,0.0671912832929782,0.844381656161704,0.08186714542190306,0.05302771125555936,0.8993958497504597,3350,3304,/home/mila/s/scieurda/shared_folder/semiconductor_restyle_prototype/2005.03896_p4c1/chart.json,
2005.10210_p45c1,0.11952135800751357,0.13027926812491403,0.8161457803115137,0.0350612629594722,0.12746132208157523,0.8699685983442763,7187,7269,/home/mila/s/scieurda/shared_folder/semiconductor_restyle_prototype/2005.10210_p45c1/chart.json,
2005.13879_p3c3,0.013256799234659014,0.02514900421572903,0.9680322045938906,0.0015647003598810829,0.029684908789386403,0.9728721113822305,7317,6879,/home/mila/s/scieurda/shared_folder/semiconductor_restyle_prototype/2005.13879_p3c3/chart.json,
2006.00498_p4c1,0.042849088517196016,0.08068033144352377,0.9150930001419849,0.013908600624467783,0.11081352527619685,0.9134001823154057,5321,4586,/home/mila/s/scieurda/shared_folder/semiconductor_restyle_prototype/2006.00498_p4c1/chart.json,
2006.01115_p33c2,0.039359267734553775,0.043256997455470736,0.942327150084317,0.033813400125234816,0.0513347022587269,0.938512869399428,2185,1965,/home/mila/s/scieurda/shared_folder/semiconductor_restyle_prototype/2006.01115_p33c2/chart.json,
2006.05368_p10c2,0.01766627078384798,0.06302190011028833,0.9361073495014157,0.0,0.045717832023169216,0.9622544833475661,6736,6347,/home/mila/s/scieurda/shared_folder/semiconductor_restyle_prototype/2006.05368_p10c2/chart.json,
2006.05506_p12c1,0.13880511273876203,0.16974376974376976,0.7930066603235014,0.06404839638947571,0.13052333303816524,0.8601476255797244,13926,14245,/home/mila/s/scieurda/shared_folder/semiconductor_restyle_prototype/2006.05506_p12c1/chart.json,
2006.09651_p5c1,0.12564683053040104,0.022597759874238555,0.8771180603388896,0.12750787597413366,0.018341145302628897,0.8770573922999857,6184,5089,/home/mila/s/scieurda/shared_folder/semiconductor_restyle_prototype/2006.09651_p5c1/chart.json,
2006.10101_p23c1,0.06260903275828648,0.003249034070951879,0.9518810765112019,0.04680138205423516,0.0033204702503814056,0.9639290505291399,10318,11388,/home/mila/s/scieurda/shared_folder/semiconductor_restyle_prototype/2006.10101_p23c1/chart.json,
