chart_id,missing_frac,extra_frac,ink_iou,data_missing_frac,data_extra_frac,data_iou,orig_ink,recon_ink,path,error
2001.01038_p13c4,0.20782624976596142,0.0647985989492119,0.7742755465175394,0.16129694233531705,0.056511056511056514,0.8170501697472652,5341,3426,/tmp/curbundles/2001.01038_p13c4/chart.json,
2001.01801_p22c138,0.07679180887372014,0.03872270141310332,0.9044209569269235,0.019885589757559247,0.025084610790364323,0.9643699240241027,8204,5449,/tmp/curbundles/2001.01801_p22c138/chart.json,
2001.01928_p5c1,0.22429210134128166,0.5347045126954207,0.49242021276595743,0.20703403104086573,0.5517497712717292,0.4779480910287756,8052,18038,/tmp/curbundles/2001.01928_p5c1/chart.json,
2001.08430_p4c1,0.13865795724465557,0.08707241226121723,0.8290355853532749,0.15135665250081726,0.09574468085106383,0.813012729844413,3368,2251,/tmp/curbundles/2001.08430_p4c1/chart.json,
2002.05937_p5c2,0.8539141575912876,0.0,0.14994132952400388,0.8539141575912876,0.0,0.14994132952400388,39025,1489,/tmp/curbundles/2002.05937_p5c2/chart.json,
2003.01158_p9c3,0.08891976380687738,0.020883924235065566,0.9117994100294985,0.05267008046817849,0.02608267716535433,0.9389525875426092,2879,2059,/tmp/curbundles/2003.01158_p9c3/chart.json,
2003.09710_p16c1,0.697415834448677,0.030242737763629127,0.3008063692967235,0.6949895615866388,0.030436523828594315,0.3031870860927152,9713,2513,/tmp/curbundles/2003.09710_p16c1/chart.json,
2003.09966_p3c2,0.019365609348914858,0.09737590894720202,0.9120826327167908,0.03608247422680412,0.16858429214607304,0.8504875406283857,2995,3163,/tmp/curbundles/2003.09966_p3c2/chart.json,
2003.11050_p20c2,0.39698548154715724,0.09312517118597645,0.598155737704918,0.36803024166329146,0.04408105225737647,0.624851915229696,9023,3651,/tmp/curbundles/2003.11050_p20c2/chart.json,
2004.01004_p6c3,0.23935535216872264,0.014519616929255484,0.7885298595838267,0.21673306772908366,0.008221225710014948,0.812402059547795,5026,3237,/tmp/curbundles/2004.01004_p6c3/chart.json,
2004.12366_p12c1,0.15835889570552147,0.023487962419260128,0.8431168831168832,0.11450381679389313,0.008904374758033295,0.8850826044703596,5216,3406,/tmp/curbundles/2004.12366_p12c1/chart.json,
2005.03896_p4c1,0.22,0.08147025388404698,0.7739791073124407,0.08545780969479354,0.08272412466333205,0.8751033912324235,3350,2639,/tmp/curbundles/2005.03896_p4c1/chart.json,
2005.10210_p45c1,0.2331988312230416,0.10641844956932481,0.7527914515548085,0.1344015080113101,0.06908016254155892,0.844934527911785,7187,3599,/tmp/curbundles/2005.10210_p45c1/chart.json,
2005.13879_p3c3,0.07967746344130108,0.038411739318083726,0.9026106987458408,0.002659990611797841,0.024595924104005622,0.9814842920018212,7317,4634,/tmp/curbundles/2005.13879_p3c3/chart.json,
2006.00498_p4c1,0.24018041721480923,0.19198533263488737,0.6907105505998155,0.008515469770082317,0.20766961651917404,0.8369975571840995,5321,3818,/tmp/curbundles/2006.00498_p4c1/chart.json,
2006.01115_p33c2,0.12906178489702516,0.010058675607711651,0.8876576232327092,0.08140262993112085,0.00702576112412178,0.9274666666666667,2185,1193,/tmp/curbundles/2006.01115_p33c2/chart.json,
2006.05368_p10c2,0.27108076009501186,0.15419119708438464,0.6866675458261902,0.17585301837270342,0.15686933154182062,0.7582171743245568,6736,3567,/tmp/curbundles/2006.05368_p10c2/chart.json,
2006.05506_p12c1,0.19273301737756715,0.11443116423196105,0.797527637096335,0.10725945842135587,0.026899480887210947,0.9001085776330076,13926,9036,/tmp/curbundles/2006.05506_p12c1/chart.json,
2006.09651_p5c1,0.18499353169469598,0.03148528405201916,0.821722198182605,0.18686784944453655,0.03278688524590164,0.8183849821215733,6184,2922,/tmp/curbundles/2006.09651_p5c1/chart.json,
2006.10101_p23c1,0.0986625314983524,0.0004546832373446499,0.9143600067102835,0.08156214009004292,0.0004695570511817186,0.9298969072164949,10318,6598,/tmp/curbundles/2006.10101_p23c1/chart.json,
